Date,Day,Week,Workstream,Task,Notes,Status
2026-07-15,Wednesday,Week 2 (Jul 13-17),Outreach,"Pull contacts, dedupe against the 300 already contacted, lock a target count",,
2026-07-16,Thursday,Week 2 (Jul 13-17),Content,"Set up the production workflow end to end: raw material, draft, review, schedule, post, analyze",,
2026-07-16,Thursday,Week 2 (Jul 13-17),Content,"Build the content calendar (date, pillar, format, theme, design, status) and pick where everything lives (tracker plus a scheduling tool)",,
2026-07-16,Thursday,Week 2 (Jul 13-17),Outreach,Clean the bigger list,,
2026-07-17,Friday,Week 2 (Jul 13-17),Content,"Set up a simple way to track what works so the analyze step has numbers (which posts, pillars, formats drove views, engagement, profile visits)",,
2026-07-17,Friday,Week 2 (Jul 13-17),Content,"Decide the trend-monitoring habit and where it lives, or consciously park it for later",,
2026-07-17,Friday,Week 2 (Jul 13-17),Outreach,Finalize the bigger list and send to Noel to review,,
2026-07-17,Friday,Week 2 (Jul 13-17),Outreach,Last connection request sends today (target date),Slips to Mon Jul 20 if the launch slipped,
2026-07-20,Monday,Week 3 (Jul 20-24),Outreach,Pause actively sending requests (sequences keep running 2 weeks after the last connection),Fallback last-connection date if Jul 17 slipped,
2026-07-20,Monday,Week 3 (Jul 20-24),Outreach,Start adapting the post-connection messages for the colder big-list ICP,No 30-day-posted signal means warm-list copy may not transfer,
2026-07-20,Monday,Week 3 (Jul 20-24),Content,Start writing August's posts in Noel's voice,,
2026-07-21,Tuesday,Week 3 (Jul 20-24),Content,Write August's posts (continued),,
2026-07-22,Wednesday,Week 3 (Jul 20-24),Content,Write August's posts (continued),,
2026-07-22,Wednesday,Week 3 (Jul 20-24),Outreach,Finish adapting the post-connection messages for the big-list ICP,,
2026-07-23,Thursday,Week 3 (Jul 20-24),Content,Finish August drafts and do an internal edit pass against the tone doc,,
2026-07-24,Friday,Week 3 (Jul 20-24),Content,Send the full August batch to Noel in one pass so he approves the month at once,,
2026-07-27,Monday,Week 4 (Jul 27-31),Outreach,"Decision read: the 200 are fully matured and carry the call. Pick the winning approach, or call a tie and default to no-note",This gates activation of the big list,
2026-07-27,Monday,Week 4 (Jul 27-31),Content,Chase Noel's feedback on the August batch if it hasn't landed yet,,
2026-07-28,Tuesday,Week 4 (Jul 27-31),Outreach,"Confirm outreach leads are flowing into HubSpot/ActiveCampaign per the spec, with statuses updating on accept, reply, and call booked",,
2026-07-28,Tuesday,Week 4 (Jul 27-31),Content,Edit posts on Noel's feedback,,
2026-07-29,Wednesday,Week 4 (Jul 27-31),Content,"Finish edits and fold the corrections back into the tone doc, so the same mistakes don't repeat",,
2026-07-30,Thursday,Week 4 (Jul 27-31),Content,Schedule the approved posts across the month in the scheduling tool,,
2026-07-31,Friday,Week 4 (Jul 27-31),Outreach,Final decision read: the held-back 100 has now had its full 2 weeks and the initial 200 as well. Main result measured today,,
2026-07-31,Friday,Week 4 (Jul 27-31),Content,Final pre-launch check: all August posts scheduled and ready to go live Aug 1,,
2026-08-01,Saturday,Launch,Content,First August post goes live (pre-scheduled),No manual work needed if scheduling is done,
2026-08-03,Monday,Week 5 (Aug 3-7),Outreach,Activate the big list on the winning approach across both senders,,
2026-08-03,Monday,Week 5 (Aug 3-7),Content,Watch the first posts go out; note early signals,,
2026-08-04,Tuesday,Week 5 (Aug 3-7),Content,Watch the first posts and note what landed,,
2026-08-05,Wednesday,Week 5 (Aug 3-7),Content,Start reposting Noel's posts on the company page (recurring habit from here on),,
2026-08-06,Thursday,Week 5 (Aug 3-7),Content,"Decide if something should be changed for the month, based on first data signals or insights",,
2026-08-07,Friday,Week 5 (Aug 3-7),Content,Week-1 review: compare metrics against the July baseline snapshot; begin planning September per the month-ahead cadence,,
